"","ID","Dead","Age","Gender","Race","Class","Major1","Major2","Minor1","Minor2","Position","Profession","Industry","City","State","loc"
"9248",400008,0,30,"Female","White",2005,"Computer Science","","","","Sr. Procurement Specialist","","Advertising/Public Relations/Marketing","Arlington","MA","Arlington, MA"
"9266",1461885,0,8,"Female","American Indian or Alaskan Native",2016,"Art","Computer Science","","","Staff Assistant","","Computers - General","Portsmouth","NH","Portsmouth, NH"
"9568",10050426,0,34,"Female","Asian",1990,"Computer Science","Mathematics","","","Systems Designer","","","Medway","MA","Medway, MA"
"9569",1655681,0,4,"Female","Asian",2018,"Computer Science","","","","Systems Developer","Computer Programmer","Technology","Arlington","MA","Arlington, MA"
"9858",1149770,0,12,"Female","White",2011,"Computer Science","","","","Technical Architect","","Computers - System Design/Services","Beverly","MA","Beverly, MA"
"10142",12667,0,31,"Female","White",1991,"Computer Science","Economics","","","Vice President Partner Success","","Computers - Internet/Web Services","Cambridge","MA","Cambridge, MA"
"10187",5606,0,31,"Female","Latino/a or Hispanic",1991,"Computer Science","Spanish","","","Vice President, Quality Assurance","","","Roslindale","MA","Roslindale, MA"
"10295",416312,0,24,"Female","White",2000,"Computer Science","Economics","","","Web Developer","","Manufacturing","S Burlington","VT","S Burlington, VT"
"11252",1442830,0,9,"Female","Asian",2014,"Computer Science","","","","","","Financial Services - Investments","Newton","MA","Newton, MA"
"11256",1619842,0,4,"Female","",2017,"Computer Science","","","","","","Financial Services - Investments","Boston","MA","Boston, MA"
"13564",10058985,0,1,"Female","",1974,"Computer Science","","","","","","","Watertown","MA","Watertown, MA"
"15435",10048667,0,37,"Female","",1985,"Computer Science","Management","","","","","","Mansfield","MA","Mansfield, MA"
"15556",10000035,0,39,"Female","",1986,"Computer Science","","","","","","","Town of Mount Royal","QC","Town of Mount Royal, QC"
"15561",10009257,0,44,"Female","",1986,"Computer Science","","","","","","","Sunnyvale","CA","Sunnyvale, CA"
"15573",10046461,0,39,"Female","",1986,"Computer Science","","","","","","","Jericho","VT","Jericho, VT"
"15589",10047213,0,38,"Female","",1986,"Computer Science","Philosophy","","","","","","Old City Jerusalem","","Old City Jerusalem, "
"15614",10048984,0,37,"Female","",1986,"Computer Science","Mathematics","","","","","","Lowell","MA","Lowell, MA"
